Abridged File Name,Recommendation,Title,Description,Date,Source of date,Box: Folder,Notes,
photos_0098,Good for digital collection,Woman and man walk up the aisle of a church during a wedding,Chinese writing on verso,,,1:17,,
photos_0099,Good for digital collection,Man holding dishes in the Chicago Cafe,,05-1961,recto,1:17,,
photos_0100,OK for collection,A woman in the kitchen of the Chicago Cafe,,05-1961,recto,Digital only,copy of 0068,
photos_0101,Good for digital collection,Family posing within latticed structure,,,,Digital only,Goes with 0090,
photos_0102,Good for digital collection,Three women pose in the back of the Chicago Cafe,,05-1961,recto,Digital only,,
photos_0103,Good for digital collection,Woman standing in the Chicago Cafe,,05-1961,recto,1:17,,
photos_0104,OK for collection,[From here through 0112: clippings with patterns on verso,"What are these? Cigarette ads, likely pasted on the wall of a room",,,1:16,,
photos_0105,OK for collection,,,,,1:16,,
photos_0106,OK for collection,,,,,1:16,,
photos_0107,OK for collection,,,,,1:16,,
photos_0108,OK for collection,,,,,1:16,,
photos_0109,OK for collection,,,,,1:16,,
photos_0110,OK for collection,,,,,1:16,,
photos_0111,OK for collection,,,,,1:16,,
photos_0112,OK for collection,,,,,1:16,,
photos_0113,Good for digital collection,Portrait of a young man,,,,1:12,,
photos_0114,Good for digital collection,Portrait of four men,,,,1:12,recto/verso issue resolves here,"This is a 3 page in kind of a cardboard enclosure. John  made it in to two reco-versos, one where there's the recto verso of envelope enclosure, and another of the photo with the verso being the back of the envelope enclosure. "
photos_0115,Good for digital collection,Man fishing at Lake Berryessa,,,,1:15,,
photos_0116,Good for digital collection,Unidentified man posing next to a pond,,,,1:15,Goes with 0052,
photos_0117,Good for digital collection,Woman posing outdoors by the fence gate of a house,,,,1:15,,
photos_0118,Good for digital collection,Chicago Cafe exterior,,09-1981,verso,Digital only,,
photos_0119,Good for digital collection,"Photo of the 2900 block of Huntington Drive in San Marino, CA, 1980s",,,,1:19,Add to grouped_018,
photos_0120,Good for digital collection,John Fong sitting in a chair indoors,,[1950s-1960s],,1:15,Transparency--better scan?,John will check Physical
photos_0121,Good for digital collection,Keepsake photo of a young woman sitting in the grass,,[1950s],,1:15,Friends,
photos_0122,Good for digital collection,Keepsake photo of a woman standing in front of a house,,[1950s],,1:15,Friends,
photos_0123,Good for digital collection,Keepsake photo of a young woman leaning against a car,,[1950s],,1:15,Friends,
photos_0124,Good for digital collection,Keepsake photo of a young woman at a picket fence,Partial name on verso,[1950s],,1:15,Friends,
photos_0125,Good for digital collection,Portrait of a young girl in pigtails ,,,,1:15,,
photos_0126,Good for digital collection,Portrait of a young man,Chinese writing on verso,,,1:15,,
photos_0127,Good for digital collection,"Group enjoying a meal, possibly Thanksgiving","Likely in Fong's Cafe, 525 Main Street, Woodland, CA.",11-1964,verso,Digital only,May include Harry Young,
photos_0128,Good for digital collection,Two men posing with a group of children in the Chicago Cafe,,01-1965,verso,Digital only,May include Harry Young,
photos_0129,Good for digital collection,Group enjoying a meal in the Chicago Cafe,,01-1965,verso,Digital only,May include Harry Young,
photos_0130,Good for digital collection,"Group enjoying a meal in the Chicago Cafe, John Fong standing",,01-1965,verso,Digital only,May include Harry Young and wife,
photos_0131,Good for digital collection,Three men at a meal in the Chicago Cafe,,01-1965,verso,Digital only,,
photos_0132,Good for digital collection,John Fong posing with a metal canister,,[1950s-1960s],,Digital only,Goes with 0089,
photos_0133,Good for digital collection,Five men playing mahjong,,12-1964,verso,1:17,,
photos_0134,Good for digital collection,"People sitting down for a meal, possibly Thanksgiving","Likely in Fong's Cafe, 525 Main Street, Woodland, CA.",11-1964,verso,Digital only,,
photos_0135,Good for digital collection,Junior Chamber of Congress float approaching during Christmas parade,"Woodland's annual Christmas parade on Main Street, Welcome to Santa Parade.",12-05-1964,verso,1:17,Verso stamp Jan 1965,
photos_0136,Good for digital collection,"The Daily Democrat float with four soldiers and the slogan ""Remember our boys around the world at Christmas.""","Woodland's annual Christmas parade on Main Street, Welcome to Santa Parade.",12-05-1964,verso,1:17,Verso stamp Jan 1965,
photos_0137,Good for digital collection,Junior Chamber of Congress float in the Christmas parade,"Woodland's annual Christmas parade on Main Street, Welcome to Santa Parade.",12-05-1964,verso,1:17,Verso stamp Jan 1965,
photos_0138,Good for digital collection,Men raise glasses during a meal at the Chicago Cafe,,01-1965,verso,Digital only,,
photos_0139,Good for digital collection,Group photo in the Chicago Cafe,,01-1965,verso,Digital only,May include Harry Young and wife,
photos_0140,Good for digital collection,John Fong (left) standing with a man in a restaurant,"Likely in Fong's Cafe, 525 Main Street, Woodland, CA.",11-1964,verso,Digital only,,
photos_0141,Good for digital collection,John Fong with group eating a meal,"Likely in Fong's Cafe, 525 Main Street, Woodland, CA.",11-1964,verso,Digital only,,
photos_0142,Good for digital collection,Christmas tree decoration on top of the cigarette vending machine in the Chicago Cafe,,12-1966,verso,1:17,Verso stamp Feb 1967,
photos_0143,Good for digital collection,Christmas display in the Chicago Cafe,,12-1966,verso,1:17,Verso stamp Feb 1967,
photos_0144,Good for digital collection,Group photo outside of Fong's Cafe,"Fong's Cafe, 525 Main Street, Woodland, CA.",03-1967,verso,Digital only,May include Harry Young and wife,
photos_0145,Good for digital collection,Group photo outside of Fong's Cafe,"Fong's Cafe, 525 Main Street, Woodland, CA.",03-1967,verso,Digital only,May include Harry Young and wife,
photos_0146,Good for digital collection,Four people outside of Fong's Cafe,"Fong's Cafe, 525 Main Street, Woodland, CA.",03-1967,verso,1:17,May include Harry Young,
photos_0147,Good for digital collection,Four people behind the Chicago Cafe,,03-1967,verso,Digital only,,
photos_0148,Good for digital collection,Keepsake photo of a young woman,,[1950s],,1:15,Friends,
photos_0149,Good for digital collection,Keepsake photo of Nancy Guerrettaz,Handwritten note on verso,[1950s],,1:15,Friends,
photos_0150,Good for digital collection,Keepsake photo of Terry,Handwritten note on verso,1958,verso,1:15,Friends,
photos_0151,Good for digital collection,Keepsake photo of a young woman holding another in her arms,"Handwritten on verso: ""Darleen holding Mary-Ann"".",[1950s],,1:15,Friends,
photos_0152,OK for collection,Keepsake photo of a young woman outdoors in profile,,[1950s],,1:15,Friends,
photos_0153,Good for digital collection,Keepsake photo of a young woman,,[1950s],,1:15,Friends,
photos_0154,Good for digital collection,Keepsake photo of Phillis Barrett,Handwritten note on verso,[1950s],,1:15,Friends,
photos_0155,Good for digital collection,Keepsake photo of young woman with inscription,"Handwritten note on verso and recto, includes names Yolanda and Ofelia",[1950s],,1:15,Friends,
photos_0156,Good for digital collection,Keepsake photo of five young women in formation pose along a residential street,"Handwritten on verso: ""Front: Pat Keeton, Back L - R: Maurine W., Joan Moore, Barb Teauscher, Georgia Yourbrough""",[1950s],,1:15,Friends,
photos_0157,Good for digital collection,Keepsake photo of three young women,,[1950s],,1:15,Friends,
photos_0158,Good for digital collection,Keepsake photo of young woman with faded inscription,,[1950s],,1:15,Friends,
photos_0159,Good for digital collection,Keepsake photo of two young woman posing with a Chevy Deluxe soft top,The car is likely a 1951 Chevrolet Deluxe convertible. ,[1950s],,1:15,Friends,
photos_0160,Good for digital collection,Woman standing in front of a truck,,[1950s],,1:15,,
photos_0161,Good for digital collection,Keepsake photo of three young women,,[1950s],,1:15,Friends,
photos_0162,Good for digital collection,Keepsake photo of two young women reclined in tall grass,"Recto inscription ""To Johnny, Rosie Rios, Margie Sandoval""",[1950s],,1:15,Friends,
photos_0163,Good for digital collection,Portrait of a young woman,,[1950s],,1:15,Friends,
photos_0164,OK for collection,Keepsake photo of a young woman standing in profile outdoors,,[1950s],,1:15,Friends,
photos_0165,Good for digital collection,Studio portrait of a young woman,"Handwritten on verso: ""To Johnny, from Nellie Flores...1975""",1957,verso,1:15,Friends,
photos_0166,Good for digital collection,Keepsake photo of a young woman sitting on a felled tree,,[1950s],,1:15,Friends,
photos_0167,Good for digital collection,Keepsake photo of a young woman standing in front of a door,,[1950s],,1:15,Friends,
